type,name
meta,InitializePlatoonBuildManager
meta,PBMGetLocation
meta,ExpansionHelp
meta,SetupOverMassStatTriggerSorian
meta,PBMClearBuildConditionsCache
meta,FindClosestArmyWithBase
meta,OverEnergyThreshold
meta,UnderMassThresholdSorian
meta,CalculateLayerPreference
meta,BaseMonitorDistressLocation
meta,FindClosestBuilderManagerPosition
meta,PBMRemoveHandle
meta,ForceManagerSort
meta,InitializeSkirmishSystems
meta,GetPlatoonsList
meta,PBMDisableRandomSamePriority
meta,CreateUnitNearSpot
meta,SetGreaterOf
meta,PickEnemyLogic
meta,AirAttackPointsTimeout
meta,CreateBrainShared
meta,SetupOverMassStatTrigger
meta,GetEconomyStoredRatio
meta,DoAIPing
meta,SelfMonitorCheck
meta,BaseMonitorInitialization
meta,CountHQs
meta,OnCreateAI
meta,SetRepeatExecution
meta,GetEconomyTrend
meta,OnPlayBusyStagingPlatformsVO
meta,GetListOfUnits
meta,PBMAddBuildLocation
meta,DisbandPlatoonUniquelyNamed
meta,SetupUnderMassStatTrigger
meta,BuildStructure
meta,PlatoonExists
meta,UnderMassThreshold
meta,GetEconomyOverTime
meta,GetHighestThreatPosition
meta,ToggleEnergyExcessUnitsThread
meta,CountHQsAllLayers
meta,GetThreatAtPosition
meta,GetArmyIndex
meta,GetPlatoonUniquelyNamed
meta,ExecuteAIThread
meta,GetCurrentPlanScript
meta,GetBaseVectors
meta,ExecutePlan
meta,PBMCheckHandleBuilding
meta,IgnoreArmyUnitCap
meta,SetupOverEnergyStatTriggerSorian
meta,RemoveHQ
meta,PickBestAttackVector
meta,CheckBlockingTerrain
meta,GetArmyStat
meta,OnUnitCapLimitReached
meta,OnSpawnPreBuiltUnits
meta,PBMSetCheckInterval
meta,SetArmyStat
meta,OnTransportFull
meta,GroupHelpThread
meta,GetBlueprintStat
meta,SetArmyStatsTrigger
meta,AddHQ
meta,ParseIntelThread
meta,CanBuildStructureAt
meta,RemoveEconomyTrigger
meta,ForkThread
meta,SetCurrentPlan
meta,PBMRemoveBuilder
meta,PlayVOSound
meta,PBMPlatoonDestroyed
meta,PBMStoreHandle
meta,IsOpponentAIRunning
meta,InitializeAttackManager
meta,PickEnemyLogicSorian
meta,BaseMonitorPlatoonDistress
meta,PBMSetEnabled
meta,ImportScenarioArmyPlans
meta,PBMResetPrimaryFactories
meta,DisbandPlatoon
meta,PBMAssistGivenFactory
meta,PBMFactoryLocationCheck
meta,GetCurrentEnemy
meta,PBMFormPlatoons
meta,GetNumPlatoonsTemplateNamed
meta,PBMRemoveBuildLocation
meta,GetAvailableFactories
meta,OnFailedUnitTransfer
meta,FindPlaceToBuild
meta,EvaluateAIThread
meta,NumCurrentlyBuilding
meta,BaseMonitorThreadSorian
meta,SetCurrentEnemy
meta,OnDefeat
meta,GetArmyStartPos
meta,GetMapWaterRatio
meta,MakePlatoon
meta,CanBuildPlatoon
meta,AssignThreatAtPosition
meta,BuildUnit
meta,BaseMonitorPlatoonDistressThread
meta,PBMCheckBuildConditions
meta,FindUnitToUpgrade
meta,GiveStorage
meta,GetCurrentUnits
meta,SetupArmyIntelTrigger
meta,GetPersonality
meta,DeadBaseMonitor
meta,AttackPointsTimeout
meta,BuildScoutLocationsSorian
meta,GetThreatBetweenPositions
meta,PlatoonBuildManagerThread
meta,GetUnitStat
meta,SortScoutingAreas
meta,SetUpAttackVectorsToArmy
meta,AddEnergyDependingEntity
meta,UnderEnergyThresholdSorian
meta,SetupAttackVectorsThread
meta,GetFactionIndex
meta,PBMSetBuildingHandleFalse
meta,FindUnit
meta,GetManagerCount
meta,AssignUnitsToPlatoon
meta,RebuildTable
meta,PBMGetLocationCoords
meta,GetUntaggedMustScoutArea
meta,GiveResource
meta,PBMClearPlatoonList
meta,AddUnitStat
meta,BaseMonitorAlertTimeout
meta,BuildPlatoon
meta,IsAnyEngineerBuilding
meta,PBMGetNumFactoriesAtLocation
meta,EvaluatePlan
meta,SetHQSupportFactoryRestrictions
meta,GetNoRushTicks
meta,AddArmyStat
meta,AddInitialEnemyThreat
meta,TakeResource
